<<<<<<< HEAD
,park,beauty,equip,food,hospital,manage,pharmacy,sell,dbscan_cluster
0,3,0,2,4,1,0,0,5,-1
1,3,0,2,4,1,0,0,5,-1
2,4,0,2,6,1,0,0,5,-1
3,4,0,2,6,0,0,0,5,-1
4,4,0,2,6,0,0,0,5,-1
5,4,0,2,6,0,0,0,5,-1
6,4,0,2,6,0,0,1,5,-1
7,4,0,3,4,0,0,1,5,-1
8,4,0,5,4,0,0,2,5,-1
9,4,0,5,7,0,0,2,5,-1
10,4,1,5,7,1,1,2,9,-1
11,4,2,6,7,2,2,2,9,-1
12,4,3,6,7,2,3,2,9,-1
13,4,3,6,7,2,3,2,7,-1
14,3,3,6,7,2,3,2,7,-1
15,3,3,6,8,2,3,4,7,-1
16,3,3,6,8,2,3,5,7,-1
17,3,3,4,8,2,3,6,7,-1
18,3,3,4,8,2,3,7,7,-1
19,3,3,4,8,2,3,7,7,-1
20,3,3,4,9,2,3,8,7,-1
21,3,2,4,9,2,2,8,5,-1
22,4,2,3,9,2,2,8,5,-1
23,3,2,3,6,2,2,8,5,-1
24,3,2,4,6,2,2,8,5,-1
25,3,2,4,6,2,2,8,5,-1
26,5,2,4,6,2,2,8,5,-1
27,5,2,4,4,2,2,8,5,0
28,5,2,4,3,2,2,8,5,0
29,5,2,4,3,2,2,8,4,0
30,5,2,4,2,2,2,7,4,0
31,5,2,4,3,2,2,8,4,0
32,5,2,4,3,2,2,8,5,0
33,5,2,4,3,2,2,8,5,0
34,5,2,4,3,2,2,8,5,0
35,5,2,3,3,2,2,7,5,0
36,5,2,2,3,2,2,5,5,3
37,5,2,2,3,2,2,5,5,3
38,5,2,2,4,3,2,5,5,3
39,5,2,1,4,3,2,4,5,3
40,5,2,1,4,3,2,3,5,-1
41,5,0,1,4,2,0,3,3,-1
42,5,1,1,4,1,0,3,1,-1
43,5,1,1,4,1,0,3,2,-1
44,5,1,1,4,1,0,3,2,-1
45,5,1,1,4,1,0,3,2,-1
46,5,1,1,4,1,0,3,2,-1
47,5,1,1,3,1,0,3,2,-1
48,5,2,1,3,1,0,3,3,-1
49,5,3,1,3,2,0,3,4,-1
50,5,3,1,3,2,0,2,4,-1
51,4,3,1,2,2,0,2,4,-1
52,4,3,1,2,2,0,2,4,-1
53,4,3,1,2,2,0,2,3,-1
54,4,4,1,0,2,0,2,4,-1
55,3,3,1,0,1,0,3,4,-1
56,3,0,2,3,1,0,0,5,-1
57,3,0,2,4,1,0,0,5,-1
58,3,0,2,4,0,0,0,5,-1
59,4,0,2,6,0,0,0,5,-1
60,4,0,2,4,0,0,0,5,-1
61,4,0,2,4,0,0,0,5,-1
62,4,0,2,4,0,0,1,5,-1
63,4,0,2,4,0,0,1,5,-1
64,4,0,4,4,0,0,2,5,-1
65,4,2,5,4,1,2,2,7,-1
66,4,2,5,4,1,2,2,9,-1
67,4,3,5,4,2,3,2,11,-1
68,4,3,5,7,2,3,2,7,-1
69,3,3,5,7,2,3,2,7,-1
70,3,3,5,7,2,3,2,7,-1
71,3,3,5,7,2,3,2,7,-1
72,3,3,4,8,2,3,2,7,-1
73,3,3,3,8,2,3,3,7,-1
74,3,3,3,8,2,3,5,7,-1
75,3,3,3,8,2,3,7,7,-1
76,3,3,3,6,2,3,8,7,-1
77,3,3,3,6,2,3,8,7,-1
78,3,3,3,6,2,3,8,7,-1
79,5,3,3,6,2,3,8,7,-1
80,4,2,4,6,2,2,8,5,-1
81,4,2,4,6,2,2,8,5,-1
82,4,2,4,4,2,2,8,5,-1
83,5,2,4,4,2,2,7,5,0
84,5,2,4,3,2,2,7,5,0
85,5,2,4,2,2,2,7,4,0
86,5,2,4,2,2,2,7,4,0
87,5,2,4,2,2,2,7,5,0
88,5,2,4,3,2,2,8,5,0
89,5,2,4,3,2,2,8,5,0
90,5,2,4,3,2,2,6,5,0
91,5,2,3,3,2,2,6,5,0
92,5,2,2,4,3,2,6,5,-1
93,5,2,2,4,3,2,5,5,3
94,5,2,2,4,3,2,5,5,3
95,5,2,1,4,3,2,3,5,-1
96,5,3,1,4,3,2,2,5,-1
97,5,1,1,4,2,0,3,3,-1
98,5,1,1,4,1,0,3,1,-1
99,5,1,1,4,1,0,3,1,-1
100,5,1,1,4,1,0,3,1,-1
101,5,1,1,4,1,0,3,1,-1
102,5,1,1,3,1,0,3,1,-1
103,5,2,1,3,1,0,3,3,-1
104,5,3,1,3,2,0,3,4,-1
105,5,3,1,3,2,0,3,4,-1
106,4,3,1,3,2,0,2,4,-1
107,4,3,1,2,2,0,2,3,-1
108,4,3,1,1,2,0,2,3,-1
109,4,4,1,1,2,0,3,4,-1
110,4,5,1,1,2,1,3,5,-1
111,4,5,1,1,2,1,3,5,-1
112,3,0,2,1,0,0,0,5,1
113,3,0,2,1,0,0,0,5,1
114,3,0,2,2,0,0,0,5,1
115,3,0,2,2,0,0,0,5,1
116,4,0,2,2,0,0,0,5,1
117,4,0,2,4,0,0,1,5,-1
118,4,0,2,4,0,0,1,5,-1
119,4,1,2,4,0,1,2,7,-1
120,4,1,3,4,0,1,2,7,-1
121,4,2,5,4,1,2,2,7,-1
122,4,2,5,4,1,2,2,9,-1
